Test Epoch: 120, Accuracy: 71.660, Precision: 71.812, Recall: 71.660, F1: 71.275, L_1: 30631, U_1: 19369, L_2: 30833, U_2: 19167
Test Epoch: 121, Accuracy: 71.130, Precision: 71.689, Recall: 71.130, F1: 70.724, L_1: 30866, U_1: 19134, L_2: 30610, U_2: 19390
Test Epoch: 122, Accuracy: 71.770, Precision: 71.889, Recall: 71.770, F1: 71.321, L_1: 30487, U_1: 19513, L_2: 30842, U_2: 19158
Test Epoch: 123, Accuracy: 71.220, Precision: 71.603, Recall: 71.220, F1: 70.835, L_1: 30687, U_1: 19313, L_2: 30882, U_2: 19118
Test Epoch: 124, Accuracy: 71.710, Precision: 72.036, Recall: 71.710, F1: 71.375, L_1: 30873, U_1: 19127, L_2: 30633, U_2: 19367
Test Epoch: 125, Accuracy: 71.390, Precision: 71.872, Recall: 71.390, F1: 71.094, L_1: 30985, U_1: 19015, L_2: 30755, U_2: 19245
Test Epoch: 126, Accuracy: 71.820, Precision: 72.166, Recall: 71.820, F1: 71.495, L_1: 30615, U_1: 19385, L_2: 30669, U_2: 19331
Test Epoch: 127, Accuracy: 71.580, Precision: 71.754, Recall: 71.580, F1: 71.033, L_1: 30722, U_1: 19278, L_2: 30721, U_2: 19279
Test Epoch: 128, Accuracy: 71.460, Precision: 71.934, Recall: 71.460, F1: 71.209, L_1: 30612, U_1: 19388, L_2: 30739, U_2: 19261
Test Epoch: 129, Accuracy: 71.680, Precision: 71.596, Recall: 71.680, F1: 71.133, L_1: 30805, U_1: 19195, L_2: 30858, U_2: 19142
Test Epoch: 130, Accuracy: 71.890, Precision: 72.088, Recall: 71.890, F1: 71.480, L_1: 30912, U_1: 19088, L_2: 30851, U_2: 19149
Test Epoch: 131, Accuracy: 72.130, Precision: 72.264, Recall: 72.130, F1: 71.639, L_1: 30928, U_1: 19072, L_2: 30777, U_2: 19223
Test Epoch: 132, Accuracy: 72.730, Precision: 72.672, Recall: 72.730, F1: 72.280, L_1: 31064, U_1: 18936, L_2: 30893, U_2: 19107
Test Epoch: 133, Accuracy: 71.770, Precision: 71.908, Recall: 71.770, F1: 71.360, L_1: 31094, U_1: 18906, L_2: 31078, U_2: 18922
Test Epoch: 134, Accuracy: 71.250, Precision: 71.962, Recall: 71.250, F1: 71.034, L_1: 30917, U_1: 19083, L_2: 30851, U_2: 19149
Test Epoch: 135, Accuracy: 72.310, Precision: 72.583, Recall: 72.310, F1: 71.963, L_1: 30888, U_1: 19112, L_2: 30903, U_2: 19097
Test Epoch: 136, Accuracy: 71.820, Precision: 72.134, Recall: 71.820, F1: 71.411, L_1: 30913, U_1: 19087, L_2: 31183, U_2: 18817
Test Epoch: 137, Accuracy: 71.790, Precision: 71.898, Recall: 71.790, F1: 71.355, L_1: 30943, U_1: 19057, L_2: 30866, U_2: 19134
Test Epoch: 138, Accuracy: 71.640, Precision: 71.670, Recall: 71.640, F1: 71.181, L_1: 31124, U_1: 18876, L_2: 30949, U_2: 19051
Test Epoch: 139, Accuracy: 72.230, Precision: 72.366, Recall: 72.230, F1: 71.733, L_1: 31035, U_1: 18965, L_2: 31079, U_2: 18921
Test Epoch: 140, Accuracy: 72.390, Precision: 72.415, Recall: 72.390, F1: 71.947, L_1: 31015, U_1: 18985, L_2: 30836, U_2: 19164
Test Epoch: 141, Accuracy: 71.890, Precision: 71.952, Recall: 71.890, F1: 71.491, L_1: 31052, U_1: 18948, L_2: 30879, U_2: 19121
Test Epoch: 142, Accuracy: 72.050, Precision: 72.374, Recall: 72.050, F1: 71.754, L_1: 31314, U_1: 18686, L_2: 30984, U_2: 19016
Test Epoch: 143, Accuracy: 72.220, Precision: 72.744, Recall: 72.220, F1: 71.944, L_1: 31037, U_1: 18963, L_2: 31207, U_2: 18793
Test Epoch: 144, Accuracy: 71.820, Precision: 72.152, Recall: 71.820, F1: 71.528, L_1: 31074, U_1: 18926, L_2: 30895, U_2: 19105
Test Epoch: 145, Accuracy: 71.930, Precision: 72.232, Recall: 71.930, F1: 71.483, L_1: 31042, U_1: 18958, L_2: 31093, U_2: 18907
Test Epoch: 146, Accuracy: 72.150, Precision: 72.336, Recall: 72.150, F1: 71.852, L_1: 31071, U_1: 18929, L_2: 31182, U_2: 18818
Test Epoch: 147, Accuracy: 71.840, Precision: 72.107, Recall: 71.840, F1: 71.484, L_1: 31119, U_1: 18881, L_2: 31176, U_2: 18824
Test Epoch: 148, Accuracy: 72.400, Precision: 72.842, Recall: 72.400, F1: 72.113, L_1: 30997, U_1: 19003, L_2: 31130, U_2: 18870
Test Epoch: 149, Accuracy: 72.320, Precision: 72.664, Recall: 72.320, F1: 72.003, L_1: 31182, U_1: 18818, L_2: 31269, U_2: 18731
Test Epoch: 150, Accuracy: 71.980, Precision: 72.508, Recall: 71.980, F1: 71.692, L_1: 31103, U_1: 18897, L_2: 31356, U_2: 18644
Test Epoch: 151, Accuracy: 72.210, Precision: 72.351, Recall: 72.210, F1: 71.794, L_1: 31236, U_1: 18764, L_2: 30992, U_2: 19008
Test Epoch: 152, Accuracy: 72.190, Precision: 72.454, Recall: 72.190, F1: 71.841, L_1: 31318, U_1: 18682, L_2: 31086, U_2: 18914
Test Epoch: 153, Accuracy: 72.390, Precision: 72.677, Recall: 72.390, F1: 72.024, L_1: 31313, U_1: 18687, L_2: 31100, U_2: 18900
